DATE_TIME	LON	LAT	TAG
2017-11-23 08:54:51	121.456230	25.062767	CELL_99
2017-11-23 08:54:47	121.456230	25.062767	CELL_98
2017-11-23 08:54:28	121.456245	25.062361	CELL_98
2017-11-23 08:54:40	121.456230	25.062767	CELL_98
2017-11-23 08:54:47	121.456230	25.062767	CELL_98
2017-11-23 08:54:34	121.454811	25.064192	CELL_98
2017-11-23 08:54:26	121.456245	25.062361	CELL_97
2017-11-23 08:54:26	121.449966	25.062826	CELL_97
2017-11-23 08:54:26	121.449966	25.062826	CELL_97
2017-11-23 08:54:19	121.453629	25.061743	CELL_96
2017-11-23 08:54:19	121.453629	25.061743	CELL_96
2017-11-23 08:54:28	121.456245	25.062361	CELL_95
2017-11-23 08:54:28	121.456245	25.062361	CELL_95
2017-11-23 08:54:28	121.456230	25.062767	CELL_95
2017-11-23 08:54:26	121.450386	25.064285	CELL_95
2017-11-23 08:54:06	121.449966	25.062826	CELL_94
2017-11-23 08:54:24	121.449966	25.062826	CELL_94
2017-11-23 08:54:24	121.449966	25.062826	CELL_94
2017-11-23 08:54:15	121.450386	25.064285	CELL_94
2017-11-23 08:54:06	121.452675	25.054808	CELL_94
2017-11-23 08:54:15	121.450386	25.064285	CELL_94
2017-11-23 08:54:02	121.452675	25.054808	CELL_93
2017-11-23 08:54:01	121.448494	25.060061	CELL_93
2017-11-23 08:54:01	121.448494	25.060061	CELL_93
2017-11-23 08:53:58	121.449486	25.058641	CELL_92
2017-11-23 08:53:58	121.449486	25.058641	CELL_92
2017-11-23 08:54:04	121.452675	25.054808	CELL_91
2017-11-23 08:54:04	121.452675	25.054808	CELL_91
2017-11-23 08:54:04	121.452675	25.054808	CELL_91
2017-11-23 08:54:02	121.450272	25.060368	CELL_91
2017-11-23 19:25:54	121.453285	25.054142	CELL_90
2017-11-23 08:53:42	121.449486	25.058641	CELL_90
2017-11-23 19:25:55	121.449905	25.058708	CELL_90
2017-11-23 19:25:55	121.449905	25.058708	CELL_90
2017-11-23 08:53:42	121.448303	25.060587	CELL_90
2017-11-23 08:53:42	121.448303	25.060587	CELL_90
2017-11-23 19:54:58	121.284386	25.085997	CELL_9
2017-11-23 19:55:04	121.284386	25.085997	CELL_9
2017-11-23 08:18:03	121.285347	25.076902	CELL_9
2017-11-23 19:55:08	121.284386	25.085997	CELL_9
2017-11-23 08:18:06	121.287758	25.084343	CELL_9
2017-11-23 08:18:21	121.287758	25.084343	CELL_9
2017-11-23 08:18:21	121.287758	25.084343	CELL_9
2017-11-23 08:53:47	121.450272	25.060368	CELL_89
2017-11-23 08:53:42	121.448303	25.060587	CELL_89
2017-11-23 19:26:13	121.443108	25.055779	CELL_89
2017-11-23 19:26:13	121.443108	25.055779	CELL_89
2017-11-23 19:26:02	121.449905	25.058708	CELL_89
2017-11-23 08:53:47	121.450272	25.060368	CELL_89
2017-11-23 08:53:36	121.426483	25.056276	CELL_88
2017-11-23 08:53:41	121.448303	25.060587	CELL_88
2017-11-23 08:53:41	121.448303	25.060587	CELL_88
2017-11-23 19:26:03	121.441032	25.057064	CELL_88
2017-11-23 19:26:02	121.443253	25.060478	CELL_88
2017-11-23 19:26:02	121.443253	25.060478	CELL_88
2017-11-23 08:53:36	121.448303	25.060587	CELL_87
2017-11-23 08:53:35	121.424469	25.055986	CELL_87
2017-11-23 08:53:24	121.421219	25.061062	CELL_86
2017-11-23 08:53:24	121.421219	25.061062	CELL_86
